4560	7224	11192	16512	24240	35024	50896	
360	440	920	1752	3056	4096	5456	
536	976	1712	4368	9128	18744	37584	
536	1048	1768	3224	5472	8944	16096	
3688	6512	10440	15992	23584	34704	51120	
648	872	1528	2288	3552	6264	10056	
336	984	1480	2688	5672	10952	19768	
456	776	1240	2136	4120	6728	11632	
3848	6496	10464	15648	23080	33040	48504	
536	792	1120	2032	3288	5560	10344	
368	552	1032	1536	2608	3784	6424	
576	888	1752	2888	5360	9696	17560	
3976	6752	10664	16656	23800	34280	50632	
920	1400	2128	3696	6776	12120	17192	
880	1400	2496	4344	7296	11792	19568	
832	1264	2352	4152	7712	14576	24424	
3632	5832	9200	13408	19936	29288	43040	
648	1504	2488	4304	7752	14232	23184	
640	888	1304	2736	4472	7416	11624	
840	1728	3272	5744	10944	18408	29464	
4112	7120	11296	16776	24408	35104	51816	
480	928	1560	3032	6160	11224	20176	
608	1096	1648	2584	4752	8192	13888	
664	1008	1904	2840	4424	7392	11800	
3632	5920	9408	14064	21032	31488	47864	
952	1464	2320	4216	7712	12968	19976	
696	1008	1736	2584	4152	7192	12512	
384	840	1352	2696	5288	10008	18016	
3672	6136	9168	13768	19872	29344	43592	
592	880	1376	2408	4088	6776	11912	
744	936	1912	2904	5048	8584	15152	
504	968	1440	2312	4368	8008	13824	
4144	6856	10352	15608	22864	33072	48896	
536	816	1496	2688	4736	7464	12048	
696	1416	2384	4336	8264	14032	20816	
760	1096	1600	2824	4448	7304	12120	
4320	7232	11312	16824	24472	35600	52328	
552	1160	2928	5896	10136	16728	27040	
968	1536	2640	4848	8680	15016	25464	
376	752	1528	2904	4912	8080	12112	
3296	5680	8136	11848	17288	24776	37336	
576	576	960	1584	2384	4568	9408	
1000	2016	3264	5744	9848	16136	24064	
496	800	1744	2888	5088	8624	14680	
3544	5864	8320	12056	17416	25392	38272	
768	728	2096	4112	7176	13224	20784	
344	792	1040	1752	3224	5480	9112	
568	1096	1800	2984	5168	8936	15672	
3120	5208	7600	10832	15952	23544	34992	
424	696	1136	1784	3152	5160	9512	
344	576	1024	2008	3400	6360	10472	
624	1032	1864	2888	4664	7720	11144	
2704	4376	6576	9360	13728	19920	29376	
824	1640	2376	4392	6712	11144	18104	
448	664	1328	2000	3376	4768	6608	
768	1224	2008	3824	6240	10712	16584	
2496	3728	5528	8272	12096	17440	25960	
528	872	1400	2400	3744	6648	11320	
368	616	1064	1888	3512	6416	10720	
240	456	688	960	1952	3208	5000	
2328	3232	5040	6928	10296	15072	22680	
352	648	832	1632	2848	5336	9320	
328	632	960	1976	2888	4728	8496	
544	856	1440	2168	3608	6440	11048	
2152	3208	4640	6624	9784	14344	21656	
304	520	1168	1576	2856	4640	8272	
472	912	1200	1728	2824	4824	8216	
528	648	1184	1840	2880	5144	8720	
2184	3384	4920	6672	9400	13968	20560	
816	1232	1616	2704	4008	6504	10832	
416	568	944	1576	2584	4400	7008	
608	1120	1632	2816	5048	8880	14336	
2344	3304	4824	6840	9664	14072	21504	
456	880	1360	1816	3112	4960	7576	
800	1176	1520	2448	4216	6712	10216	
440	704	1168	1992	3232	5392	8408	
2352	3432	4728	6824	9896	14352	21464	
320	552	672	1200	2200	4032	8072	
376	496	984	1584	2848	4568	7408	
376	488	656	1120	1928	3536	5744	
2144	3360	4648	6688	9792	14584	21608	
352	680	952	1240	2184	3440	5416	
352	576	992	1776	3064	5520	9296	
256	408	800	1528	2712	5136	8320	
2120	3088	4456	6360	9056	12968	19976	
568	776	1232	1728	2672	4584	7496	
640	1176	1672	2200	3624	6104	9296	
568	984	1272	2032	3048	4672	7224	
1800	2760	3904	5552	7672	11216	17192	
1248	1648	2208	3048	5128	7920	12576	
432	776	1208	1832	2864	4448	7352	
808	1096	1552	2280	3632	6024	9360	
1880	2824	3976	5544	8040	11704	17960	
872	1328	1840	2712	4072	6664	10880	
528	712	1000	1640	2576	3616	5848	
552	872	1112	1768	3072	5304	9008	
1416	2112	3176	4264	6448	9560	14536	
376	792	920	1624	2288	3936	6568	
448	720	752	1256	2160	3736	6448	
424	616	888	1296	1968	3256	5272	
1080	1600	2376	3504	4992	7712	11984	
344	568	792	1256	1656	2848	4808	
400	560	832	1432	2280	3464	6048	
368	528	824	1144	1792	3224	5664	
1008	1440	2224	3272	4776	7360	11504	
344	520	728	1040	1808	2680	5032	
168	304	424	776	1288	2712	4616	
328	504	616	800	1408	2912	5272	
1096	1512	2376	3360	5152	7552	12440	
376	424	592	1048	1600	3120	4992	
248	456	616	1144	2168	4168	7912	
440	560	872	1256	1936	3408	5456	
1136	1712	2496	3728	5520	7992	12536	
136	256	376	728	1528	2784	5320	
184	192	472	872	1672	2888	5360	
272	376	616	880	1312	2528	4360	
1072	1568	2296	3272	4872	7248	11248	
184	352	552	968	1768	3112	5432	
312	424	568	848	1552	2864	4760	
232	320	568	912	1400	2448	4648	
1024	1648	2480	3440	5040	7656	11280	
216	416	464	928	1216	2152	4184	
272	312	576	848	1288	2384	4088	
216	464	488	1000	2040	3288	6168	
904	1432	2088	3040	4752	6864	10664	
240	280	448	912	1104	2264	4096	
168	248	384	480	880	1376	2664	
144	240	464	616	1064	1880	3864	
896	1344	1904	2848	4048	5968	9320	
136	200	344	552	968	1632	3496	
216	264	440	624	1080	2008	3768	
152	192	272	496	800	1848	3552	
920	1392	2024	2848	4472	6424	9816	
112	272	416	680	1352	2288	4120	
152	176	376	696	952	1848	3128	
208	376	440	704	1248	2240	4064	
936	1376	2104	3192	4600	6832	10464	
200	248	352	552	848	1784	3416	
192	336	472	752	1064	1744	3368	
360	344	560	760	1256	2168	4424	
1000	1536	2256	3200	4840	7176	10672	
272	352	536	880	1376	1848	3760	
192	280	488	616	1112	2128	3384	
280	312	592	928	1376	2528	4664	
1024	1488	2200	3392	4904	7472	11080	
192	320	424	680	1264	2312	3800	
