fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
64	2	45.26	-44	0	-53	0	9.00	-53	0	9.00	-52	0	8.00	-52	0	8.00	
65	2	45.16	-43	0	-53	0	10.00	-53	0	10.00	-52	0	9.00	-52	0	9.00	
66	2	45.16	-43	0	-53	0	10.00	-53	0	10.00	-52	0	9.00	-52	0	9.00	
67	2	45.16	-43	0	-53	0	10.00	-53	0	10.00	-52	0	9.00	-52	0	9.00	
68	2	45.06	-42	0	-53	0	11.00	-53	0	11.00	-52	0	10.00	-52	0	10.00	
69	2	45.06	-42	0	-53	0	11.00	-53	0	11.00	-52	0	10.00	-52	0	10.00	
70	2	44.97	-41	0	-53	0	12.00	-53	0	12.00	-52	0	11.00	-52	0	11.00	
71	2	44.88	-40	0	-53	0	13.00	-53	0	13.00	-52	0	12.00	-52	0	12.00	
72	2	44.88	-40	0	-53	0	13.00	-53	0	13.00	-52	0	12.00	-52	0	12.00	
73	2	44.88	-40	0	-53	0	13.00	-53	0	13.00	-52	0	12.00	-52	0	12.00	
74	2	44.88	-40	0	-53	0	13.00	-53	0	13.00	-52	0	12.00	-52	0	12.00	
75	2	44.80	-39	0	-53	0	14.00	-53	0	14.00	-52	0	13.00	-52	0	13.00	
76	2	44.80	-39	0	-53	0	14.00	-53	0	14.00	-52	0	13.00	-52	0	13.00	
77	2	44.80	-39	0	-53	0	14.00	-53	0	14.00	-52	0	13.00	-52	0	13.00	
78	2	44.80	-39	0	-53	0	14.00	-53	0	14.00	-52	0	13.00	-52	0	13.00	
79	2	44.80	-39	0	-53	0	14.00	-53	0	14.00	-52	0	13.00	-52	0	13.00	
80	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
81	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
82	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
83	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
84	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
85	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
86	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
87	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
88	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
89	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
90	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
91	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
92	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
93	2	44.72	-38	0	-53	0	15.00	-53	0	15.00	-52	0	14.00	-52	0	14.00	
94	2	44.72	-38	0	-54	0	16.00	-54	0	16.00	-52	0	14.00	-52	0	14.00	
95	2	44.72	-38	0	-54	0	16.00	-54	0	16.00	-52	0	14.00	-52	0	14.00	
96	3	44.86	-38	0	-37	0	1.00	-37	0	1.00	-28	0	10.00	-28	0	10.00	
97	3	44.86	-38	0	-37	0	1.00	-36	0	2.00	-28	0	10.00	-27	0	11.00	
98	3	44.81	-37	0	-37	0	0.00	-36	0	1.00	-27	0	10.00	-26	0	11.00	
99	3	44.81	-37	0	-37	0	0.00	-36	0	1.00	-27	0	10.00	-26	0	11.00	
100	3	44.81	-37	0	-37	0	0.00	-36	0	1.00	-26	0	11.00	-25	0	12.00	
101	3	44.81	-37	0	-36	0	1.00	-35	0	2.00	-26	0	11.00	-25	0	12.00	
102	3	44.81	-37	0	-36	0	1.00	-34	0	3.00	-25	0	12.00	-23	0	14.00	
103	3	44.76	-36	0	-36	0	0.00	-34	0	2.00	-25	0	11.00	-23	0	13.00	
104	3	44.76	-36	0	-36	0	0.00	-34	0	2.00	-24	0	12.00	-22	0	14.00	
105	3	44.76	-36	0	-35	0	1.00	-33	0	3.00	-24	0	12.00	-22	0	14.00	
106	3	44.76	-36	0	-35	0	1.00	-33	0	3.00	-23	0	13.00	-21	0	15.00	
107	3	44.76	-36	0	-35	0	1.00	-32	0	4.00	-23	0	13.00	-20	0	16.00	
108	3	44.71	-35	0	-35	0	0.00	-32	0	3.00	-22	0	13.00	-19	0	16.00	
109	3	44.71	-35	0	-35	0	0.00	-32	0	3.00	-22	0	13.00	-19	0	16.00	
110	3	44.71	-35	0	-34	0	1.00	-31	0	4.00	-21	0	14.00	-18	0	17.00	
111	3	44.71	-35	0	-34	0	1.00	-31	0	4.00	-21	0	14.00	-18	0	17.00	
112	3	44.71	-35	0	-34	0	1.00	-30	0	5.00	-20	0	15.00	-16	0	19.00	
113	3	44.71	-35	0	-34	0	1.00	-30	0	5.00	-20	0	15.00	-16	0	19.00	
114	3	44.71	-35	0	-34	0	1.00	-30	0	5.00	-19	0	16.00	-15	0	20.00	
115	3	44.71	-35	0	-33	0	2.00	-29	0	6.00	-19	0	16.00	-15	0	20.00	
116	3	44.71	-35	0	-33	0	2.00	-29	0	6.00	-18	0	17.00	-14	0	21.00	
117	3	44.71	-35	0	-33	0	2.00	-28	0	7.00	-18	0	17.00	-13	0	22.00	
118	3	44.71	-35	0	-33	0	2.00	-28	0	7.00	-17	0	18.00	-12	0	23.00	
119	3	44.71	-35	0	-32	0	3.00	-27	0	8.00	-17	0	18.00	-12	0	23.00	
120	3	44.71	-35	0	-32	0	3.00	-27	0	8.00	-16	0	19.00	-11	0	24.00	
121	3	44.71	-35	0	-32	0	3.00	-27	0	8.00	-16	0	19.00	-11	0	24.00	
122	3	44.71	-35	0	-32	0	3.00	-26	0	9.00	-15	0	20.00	-9	0	26.00	
123	3	44.71	-35	0	-32	0	3.00	-26	0	9.00	-15	0	20.00	-9	0	26.00	
124	3	44.71	-35	0	-31	0	4.00	-25	0	10.00	-14	0	21.00	-8	0	27.00	
125	3	44.71	-35	0	-31	0	4.00	-25	0	10.00	-14	0	21.00	-8	0	27.00	
126	3	44.71	-35	0	-31	0	4.00	-25	0	10.00	-13	0	22.00	-7	0	28.00	
127	3	44.71	-35	0	-31	0	4.00	-25	0	10.00	-13	0	22.00	-7	0	28.00	
128	4	46.34	-35	0	-29	0	6.00	-29	0	6.00	-38	0	3.00	-38	0	3.00	
129	4	46.34	-35	0	-29	0	6.00	-28	0	7.00	-38	0	3.00	-37	0	2.00	
