fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2	est_phi_ins	est_theta_ins	err_ins	est_phi_ins_2	est_theta_ins_2	err_ins_2
99	3	42.43	-37	7	-37	0	7.00	-36	0	7.07	-27	1	11.64	-26	1	12.50	
100	3	42.43	-37	7	-37	0	7.00	-36	0	7.07	-26	1	12.50	-25	1	13.39	
101	3	42.43	-37	7	-36	0	7.07	-35	0	7.28	-26	1	12.50	-25	1	13.39	
102	3	42.43	-37	7	-36	0	7.07	-34	0	7.61	-25	1	13.39	-23	1	15.19	
103	3	41.89	-36	9	-36	0	9.00	-34	0	9.22	-25	1	13.56	-23	1	15.21	
104	3	41.89	-36	9	-36	0	9.00	-34	0	9.22	-24	2	13.84	-22	2	15.59	
105	3	41.89	-36	9	-36	0	9.00	-34	0	9.22	-24	2	13.84	-22	2	15.59	
106	3	41.89	-36	9	-35	0	9.05	-33	0	9.48	-23	2	14.70	-21	2	16.48	
107	3	41.89	-36	9	-35	0	9.05	-32	0	9.84	-23	2	14.70	-20	2	17.39	
108	3	41.65	-35	10	-35	0	10.00	-32	0	10.44	-22	2	15.19	-19	2	17.80	
109	3	41.65	-35	10	-35	0	10.00	-32	0	10.44	-22	2	15.19	-19	2	17.80	
110	3	41.65	-35	10	-34	0	10.05	-31	0	10.76	-21	2	16.05	-18	2	18.69	
111	3	41.43	-35	11	-34	0	11.04	-31	0	11.70	-21	2	16.55	-18	2	19.12	
112	3	41.43	-35	11	-34	0	11.04	-30	0	12.07	-20	3	16.89	-16	3	20.47	
113	3	41.43	-35	11	-34	0	11.04	-30	0	12.07	-20	3	16.89	-16	3	20.47	
114	3	41.43	-35	11	-34	0	11.04	-30	0	12.07	-19	3	17.77	-15	3	21.39	
115	3	41.43	-35	11	-33	0	11.18	-29	0	12.51	-19	3	17.77	-15	3	21.39	
116	3	41.43	-35	11	-33	0	11.18	-29	0	12.51	-18	3	18.66	-14	3	22.31	
117	3	41.43	-35	11	-33	0	11.18	-28	0	13.02	-18	3	18.66	-13	3	23.24	
118	3	41.43	-35	11	-33	0	11.18	-28	0	13.02	-17	3	19.56	-12	3	24.17	
119	3	41.43	-35	11	-32	0	11.40	-27	0	13.57	-17	3	19.56	-12	3	24.17	
120	3	41.43	-35	11	-32	0	11.40	-27	0	13.57	-16	4	20.08	-11	4	24.79	
121	3	41.43	-35	11	-32	0	11.40	-27	0	13.57	-16	4	20.08	-11	4	24.79	
122	3	41.43	-35	11	-32	0	11.40	-26	0	14.18	-15	4	21.01	-9	4	26.69	
123	3	41.65	-35	10	-32	0	10.44	-26	0	13.42	-15	4	20.73	-9	4	26.48	
124	3	41.65	-35	10	-31	0	10.76	-25	0	14.11	-14	4	21.68	-8	4	27.45	
125	3	41.65	-35	10	-31	0	10.76	-25	0	14.11	-14	4	21.68	-8	4	27.45	
126	3	41.65	-35	10	-31	0	10.76	-25	0	14.11	-13	4	22.63	-7	4	28.41	
127	3	41.65	-35	10	-31	0	10.76	-25	1	13.41	-13	4	22.63	-7	5	28.19	
128	4	45.26	-35	11	-29	13	6.20	-29	13	6.20	-38	5	6.69	-38	5	6.69	
129	4	45.26	-35	11	-29	13	6.20	-28	13	7.13	-38	5	6.69	-37	5	6.32	
130	4	45.26	-35	11	-29	13	6.20	-28	13	7.13	-38	5	6.69	-37	5	6.32	
