fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2
0	0	32.12	-64	-9	0	0	0.00	0	0	0.00	
1	0	32.10	-65	-10	0	0	0.00	0	0	0.00	
2	0	32.03	-67	-10	0	0	0.00	0	0	0.00	
3	0	32.02	-68	-11	0	0	0.00	0	0	0.00	
4	0	31.98	-69	-11	0	0	0.00	0	0	0.00	
5	0	31.96	-69	-10	0	0	0.00	0	0	0.00	
6	0	31.94	-69	-9	0	0	0.00	0	0	0.00	
7	0	31.92	-69	-8	0	0	0.00	0	0	0.00	
8	0	31.95	-68	-8	0	0	0.00	0	0	0.00	
9	0	31.95	-68	-8	0	0	0.00	0	0	0.00	
10	0	31.95	-68	-8	0	0	0.00	0	0	0.00	
11	0	31.95	-68	-8	0	0	0.00	0	0	0.00	
12	0	31.95	-68	-8	0	0	0.00	0	0	0.00	
13	0	31.94	-69	-9	0	0	0.00	0	0	0.00	
14	0	31.94	-69	-9	0	0	0.00	0	0	0.00	
15	0	31.94	-69	-9	0	0	0.00	0	0	0.00	
16	0	31.91	-70	-9	0	0	0.00	0	0	0.00	
17	0	31.91	-70	-9	0	0	0.00	0	0	0.00	
18	0	31.87	-71	-9	0	0	0.00	0	0	0.00	
19	0	31.87	-71	-9	0	0	0.00	0	0	0.00	
20	0	31.87	-71	-9	0	0	0.00	0	0	0.00	
21	0	31.82	-72	-8	0	0	0.00	0	0	0.00	
22	0	31.79	-72	-7	0	0	0.00	0	0	0.00	
23	0	31.77	-72	-6	0	0	0.00	0	0	0.00	
24	0	31.71	-73	-5	0	0	0.00	0	0	0.00	
25	0	31.64	-74	-3	0	0	0.00	0	0	0.00	
26	0	31.56	-75	-1	0	0	0.00	0	0	0.00	
27	0	31.51	-76	0	0	0	0.00	0	0	0.00	
28	0	31.46	-77	1	0	0	0.00	0	0	0.00	
29	0	31.40	-78	3	0	0	0.00	0	0	0.00	
30	0	31.34	-79	4	0	0	0.00	0	0	0.00	
31	0	31.26	-80	7	0	0	0.00	0	0	0.00	
32	1	33.97	-80	9	0	0	0.00	0	0	0.00	
33	1	33.98	-80	11	0	0	0.00	0	0	0.00	
34	1	33.90	-81	12	0	0	0.00	0	0	0.00	
35	1	33.90	-81	13	0	0	0.00	0	0	0.00	
36	1	33.90	-81	14	0	0	0.00	0	0	0.00	
37	1	33.82	-82	15	0	0	0.00	0	0	0.00	
38	1	33.82	-82	15	0	0	0.00	0	0	0.00	
39	1	33.82	-82	16	0	0	0.00	0	0	0.00	
40	1	33.82	-82	16	0	0	0.00	0	0	0.00	
41	1	33.82	-82	15	0	0	0.00	0	0	0.00	
42	1	33.74	-83	15	0	0	0.00	0	0	0.00	
43	1	33.74	-83	15	0	0	0.00	0	0	0.00	
44	1	33.74	-83	15	0	0	0.00	0	0	0.00	
45	1	33.74	-83	15	0	0	0.00	0	0	0.00	
46	1	33.74	-83	15	0	0	0.00	0	0	0.00	
47	1	33.74	-83	15	0	0	0.00	0	0	0.00	
48	1	33.74	-83	15	0	0	0.00	0	0	0.00	
49	1	33.66	-84	15	0	0	0.00	0	0	0.00	
50	1	33.66	-84	15	0	0	0.00	0	0	0.00	
51	1	33.58	-85	15	0	0	0.00	0	0	0.00	
52	1	33.58	-85	16	0	0	0.00	0	0	0.00	
53	1	33.51	-86	16	0	0	0.00	0	0	0.00	
54	1	33.51	-86	16	0	0	0.00	0	0	0.00	
55	1	33.44	-87	16	0	0	0.00	0	0	0.00	
56	1	33.44	-87	16	0	0	0.00	0	0	0.00	
57	1	33.44	-87	16	0	0	0.00	0	0	0.00	
58	1	33.44	-87	16	0	0	0.00	0	0	0.00	
59	1	33.44	-87	16	0	0	0.00	0	0	0.00	
60	1	33.51	-86	15	0	0	0.00	0	0	0.00	
61	1	33.51	-86	15	0	0	0.00	0	0	0.00	
62	1	33.51	-86	15	0	0	0.00	0	0	0.00	
63	1	33.51	-86	15	0	0	0.00	0	0	0.00	
64	2	34.90	-85	15	0	0	0.00	0	0	0.00	
65	2	34.90	-85	15	0	0	0.00	0	0	0.00	
66	2	34.96	-84	15	0	0	0.00	0	0	0.00	
67	2	35.03	-83	15	0	0	0.00	0	0	0.00	
68	2	35.11	-82	16	0	0	0.00	0	0	0.00	
69	2	35.24	-80	16	0	0	0.00	0	0	0.00	
70	2	35.30	-79	16	0	0	0.00	0	0	0.00	
71	2	35.43	-77	16	0	0	0.00	0	0	0.00	
72	2	35.50	-76	16	0	0	0.00	0	0	0.00	
73	2	35.63	-74	16	0	0	0.00	0	0	0.00	
74	2	35.76	-72	16	0	0	0.00	0	0	0.00	
75	2	35.97	-69	16	0	0	0.00	0	0	0.00	
76	2	36.18	-66	16	0	0	0.00	0	0	0.00	
77	2	36.47	-62	16	0	0	0.00	0	0	0.00	
78	2	36.71	-59	16	0	0	0.00	0	0	0.00	
79	2	36.96	-56	16	0	0	0.00	0	0	0.00	
80	2	37.15	-54	15	0	0	0.00	0	0	0.00	
81	2	37.34	-52	15	0	0	0.00	0	0	0.00	
82	2	37.45	-51	14	0	0	0.00	0	0	0.00	
83	2	37.57	-50	13	0	0	0.00	0	0	0.00	
84	2	37.68	-49	13	0	0	0.00	0	0	0.00	
85	2	37.57	-50	13	0	0	0.00	0	0	0.00	
86	2	37.57	-50	13	0	0	0.00	0	0	0.00	
87	2	37.68	-49	13	0	0	0.00	0	0	0.00	
88	2	37.68	-49	13	0	0	0.00	0	0	0.00	
89	2	37.78	-48	13	0	0	0.00	0	0	0.00	
90	2	37.87	-47	13	0	0	0.00	0	0	0.00	
91	2	37.87	-47	13	0	0	0.00	0	0	0.00	
92	2	37.95	-46	13	0	0	0.00	0	0	0.00	
93	2	38.03	-45	13	0	0	0.00	0	0	0.00	
94	2	38.11	-44	13	0	0	0.00	0	0	0.00	
95	2	38.18	-43	13	0	0	0.00	0	0	0.00	
96	3	41.86	-42	12	-64	-9	30.32	-64	-9	30.32	
97	3	41.58	-40	12	-64	-9	31.78	-64	-9	31.78	
98	3	41.30	-38	12	-64	-9	33.30	-64	-9	33.30	
99	3	41.18	-37	12	-64	-9	34.08	-64	-9	34.08	
100	3	40.98	-35	11	-64	-9	35.10	-64	-9	35.10	
101	3	40.88	-34	11	-64	-9	35.92	-64	-9	35.92	
102	3	40.78	-33	11	-64	-9	36.75	-64	-9	36.75	
103	3	40.59	-31	11	-64	-9	38.44	-64	-9	38.44	
104	3	40.53	-30	10	-64	-9	38.81	-64	-9	38.81	
105	3	40.38	-28	9	-64	-9	40.12	-64	-9	40.12	
106	3	40.23	-26	9	-64	-9	41.90	-64	-9	41.90	
107	3	40.16	-25	9	-64	-9	42.81	-64	-9	42.81	
108	3	39.97	-22	8	-64	-9	45.16	-64	-9	45.16	
109	3	39.91	-21	8	-64	-9	46.09	-64	-9	46.09	
110	3	39.78	-19	8	-64	-9	47.95	-64	-9	47.95	
111	3	39.67	-17	8	-64	-9	49.81	-64	-9	49.81	
112	3	39.62	-16	8	-64	-9	50.75	-64	-9	50.75	
113	3	39.56	-15	8	-64	-9	51.69	-64	-9	51.69	
114	3	39.51	-14	9	-64	-9	52.94	-64	-9	52.94	
115	3	39.51	-14	8	-64	-9	52.63	-64	-9	52.63	
116	3	39.46	-13	8	-64	-9	53.58	-64	-9	53.58	
117	3	39.46	-13	8	-64	-9	53.58	-64	-9	53.58	
118	3	39.46	-13	8	-64	-9	53.58	-64	-9	53.58	
119	3	39.47	-13	7	-64	-9	53.28	-64	-9	53.28	
120	3	39.47	-13	7	-64	-9	53.28	-64	-9	53.28	
121	3	39.47	-13	7	-64	-9	53.28	-64	-9	53.28	
122	3	39.42	-12	7	-64	-9	54.23	-64	-9	54.23	
