6104	8712	11864	16136	22336	31920	46040	
2176	3128	4856	7000	10032	14280	20368	
3432	5592	8096	11864	18920	31496	51792	
2840	4424	6600	9648	14312	21952	34296	
4912	7880	11664	16176	23624	34904	51968	
1240	1952	3032	5160	8032	12408	18200	
1320	2240	3712	6272	10432	16672	25000	
1128	1768	2792	4464	6920	11000	17496	
5728	8736	12792	18752	26752	38432	57384	
1216	2016	3072	4576	7192	12464	21240	
1104	1744	2952	4584	7232	10128	15488	
1368	2240	3576	5912	9552	16512	28544	
5968	9680	13992	20096	28800	42504	63448	
1200	2152	3424	5736	10376	15896	22256	
1328	2232	3992	5824	9736	15536	26280	
1368	2600	3856	6528	10768	18536	29008	
6088	9984	14696	21000	30384	44560	65824	
2160	3752	5488	8768	13656	22240	35744	
1632	2792	4080	6280	9304	13536	18960	
2064	3504	6640	11464	19216	30584	46384	
6400	10080	14528	20448	29304	42272	62976	
1960	3304	4816	7592	13368	21496	36904	
1904	2688	3880	5928	9336	15688	25264	
1688	2744	4360	6872	10640	16768	27000	
6576	10192	14600	20832	30432	45424	68792	
3200	5368	8128	12272	18896	28752	41672	
2048	3112	4976	7792	12520	19592	32152	
2376	4208	6208	10072	16256	25928	42224	
7256	11584	16912	23808	34152	49272	73920	
2128	3520	5248	7888	12392	21336	35664	
2792	4536	6760	10408	16480	25680	39544	
2160	3584	5472	8760	14280	22448	35712	
6336	10144	14896	20968	30696	44744	66192	
2752	4384	6816	10224	16016	25736	40696	
2312	3936	5896	9632	15328	24904	38136	
2120	3152	5008	7720	12344	19680	32728	
5768	8824	12576	18248	26392	37960	56616	
1752	2992	5104	7976	12472	19376	31320	
2448	3840	6216	9216	14768	23160	34328	
1624	2432	3528	5400	7840	11008	15616	
3632	5472	7632	10568	14984	21640	33016	
1592	2568	3840	6160	9864	15600	24560	
1792	2784	4200	5936	8864	13192	19464	
1640	2568	3392	5016	7760	11800	18248	
3272	4752	6784	9208	13280	19528	29288	
1680	2568	3824	5840	9080	14368	21120	
1264	2120	3240	4696	7128	10568	15744	
1456	2248	3368	5368	7904	12360	18880	
2808	4232	6080	9128	13192	19336	28824	
1720	2648	4056	6320	9416	14528	22864	
1696	2672	4264	6568	10368	16200	24776	
1440	2448	3736	5856	8816	12968	19032	
3152	5080	7544	11008	15832	22704	34224	
1472	2808	4352	7304	11720	20200	31704	
1928	3280	4952	7792	12088	18504	28048	
2008	3016	4768	7272	11736	18456	29864	
3288	5144	7728	11176	16168	23632	35320	
1568	2688	4256	6952	11216	18408	29808	
2016	3080	5016	7472	11736	17600	26448	
1720	2840	4272	6712	9832	14416	20184	
3664	5584	8168	11920	17128	24800	37544	
1568	2424	3816	6152	9704	16304	26032	
1472	2400	3808	5792	8800	13048	18720	
1968	3072	4656	7208	11448	17400	27296	
3912	5952	8400	12120	17888	26032	38160	
1928	3176	4696	7072	10736	16576	25680	
1784	3136	4912	7664	11856	19568	29056	
2360	3440	5544	8696	12712	18400	26352	
3880	6056	8448	11840	17048	24784	36432	
2088	3136	4440	7336	11928	18440	28688	
2048	2872	4448	6536	9400	14136	19920	
2024	3208	4872	7576	11392	16880	24832	
3600	5224	7848	11048	16168	23896	35952	
1872	2936	4368	6112	9448	15416	24168	
1632	2416	3912	5880	9112	14264	21744	
1312	1792	2824	4560	7584	12336	17912	
2888	4072	6136	8464	12576	18392	28096	
864	1400	2304	3568	5968	10568	17864	
888	1488	2008	3176	5328	8136	12968	
736	1088	1696	2776	4432	7408	11128	
2184	3328	4784	7136	10536	15856	24472	
536	880	1456	2496	4104	7328	11240	
728	1264	2072	3648	5896	10128	17272	
608	848	1336	2152	3664	6408	10632	
2112	3248	4936	7288	10832	16200	24440	
672	984	1216	2248	3872	6992	12040	
544	952	1728	2800	4520	8032	13192	
448	832	1296	1824	3248	5088	8096	
1944	3056	4680	7448	11248	16880	24904	
760	1056	2128	3488	5848	10176	16904	
1040	1816	2784	4680	7320	11832	17904	
912	1240	1848	3072	5032	8408	13104	
1824	2864	4272	6896	10280	15528	23232	
904	1216	2016	3088	5104	8336	14088	
824	1344	2208	3416	5680	9240	14088	
696	1376	1984	3480	5736	9688	16040	
1832	2928	4752	7264	11192	16656	25704	
520	888	1424	2728	4496	7008	10816	
472	856	1616	2552	4232	6568	10024	
696	1112	2016	3256	5472	9336	15312	
1536	2424	3744	5656	8816	12816	19688	
600	1024	1520	2224	3792	6056	8472	
752	1024	1632	2432	4208	6816	10568	
536	888	1168	2112	3176	5472	9544	
1472	2376	3600	5320	8168	12168	18440	
584	704	1128	1688	2904	5176	8360	
536	640	1144	1928	3328	5960	9568	
520	736	1224	1912	3192	5200	8984	
1416	2224	3096	4672	6912	10616	15952	
624	944	1632	2456	3816	6200	9392	
504	920	1288	1832	3376	5672	8768	
496	608	1048	1504	2568	4640	8112	
1312	2200	3280	4840	6784	10392	15216	
304	576	1048	1448	2904	4760	7792	
408	544	928	1392	2416	3936	6864	
504	656	896	1472	2528	4496	7832	
1016	1464	2096	3112	4624	7008	10400	
312	376	736	1176	1760	3328	6000	
344	512	656	880	1504	2648	4336	
304	464	592	952	1456	2752	4904	
768	1080	1464	1968	2952	4464	7320	
280	392	512	752	1368	2472	4360	
248	360	544	664	952	1616	2992	
272	224	216	680	1112	2376	4328	
752	1024	1416	2136	3272	4792	7520	
248	304	552	792	1352	2336	4376	
304	328	456	704	1056	2088	3360	
176	328	368	592	1120	2176	4080	
824	1192	1600	2344	3400	4960	7824	
288	504	552	576	1224	2576	4208	
312	328	368	560	1040	1792	3888	
192	232	432	640	1128	1920	4520	
784	1024	1512	2216	2960	4560	7672	
232	352	520	816	1400	2456	4640	
272	416	592	832	1400	2304	4328	
264	368	632	872	1472	2576	5272	
840	1112	1496	2120	3272	4928	7672	
216	384	512	688	1248	2168	4064	
352	496	808	1096	1440	2648	4136	
320	448	672	944	1552	2592	4552	
912	1256	1824	2568	3544	5168	8096	
304	384	640	880	1408	2640	4640	
376	456	632	960	1608	2840	4416	
392	544	752	1248	1880	3104	4976	
1008	1384	2008	2840	4136	6208	9768	
496	616	840	1456	2040	3312	5440	
360	640	744	1392	1912	3360	5288	
280	376	584	968	1688	2976	5016	
1200	1576	2176	3152	4744	6976	10976	
312	536	1056	1440	2856	4576	7496	
296	488	784	1264	2264	3824	6360	
288	520	584	992	1720	3144	5984	
1040	1344	1848	2656	3760	5568	8632	
312	472	768	1176	1904	3432	6176	
304	496	696	904	1448	2472	4752	
256	376	528	872	1392	2048	3352	
1008	1368	1816	2552	3576	5392	8520	
296	544	768	1208	1872	3352	5752	
360	400	528	712	1184	2256	4320	
192	368	528	968	1632	2568	4128	
896	1256	1672	2256	3296	5056	7528	
240	328	456	656	1224	2224	3808	
192	272	552	992	1872	3752	7808	
192	304	432	624	1272	2120	3368	
768	1192	1488	2224	3312	4880	7928	
