9296	33.00	0.87	15496	35.68	0.91	24352	37.85	0.94	36648	40.28	0.96	54744	42.77	0.98	79864	45.23	0.98	114824	47.54	0.99	
8448	34.07	0.90	13152	36.69	0.93	19520	38.95	0.95	28304	41.18	0.97	42184	43.53	0.98	61632	45.89	0.99	90248	48.24	0.99	
7840	34.11	0.90	12656	36.89	0.93	18856	39.13	0.95	27960	41.44	0.97	41520	43.72	0.98	61016	46.06	0.99	88240	48.41	0.99	
8336	33.78	0.89	13520	36.39	0.92	20424	38.75	0.95	29272	40.96	0.97	44160	43.37	0.98	66248	45.75	0.99	96328	48.11	0.99	
6784	34.40	0.91	10032	37.17	0.94	15456	39.34	0.95	22400	41.47	0.97	32936	43.79	0.98	49000	46.10	0.99	74440	48.44	0.99	
3536	36.27	0.94	5656	39.05	0.96	7920	41.05	0.97	11648	43.18	0.98	16760	45.45	0.98	24824	47.75	0.99	36328	49.81	0.99	
4416	34.85	0.92	7384	37.51	0.94	11952	39.80	0.96	18288	42.14	0.97	27384	44.49	0.98	40640	46.70	0.99	61320	48.92	0.99	
1712	36.22	0.94	2896	39.00	0.96	4632	41.01	0.97	7344	43.11	0.98	11240	45.28	0.98	18416	47.50	0.99	29368	49.51	0.99	
6168	34.38	0.90	9560	36.81	0.93	15128	39.09	0.95	23016	41.41	0.97	34256	43.70	0.98	51296	46.01	0.98	75640	48.26	0.99	
3256	36.83	0.94	5144	39.10	0.95	8040	41.42	0.97	12256	43.66	0.98	17944	45.91	0.98	25704	48.15	0.99	37976	50.16	0.99	
1600	38.38	0.95	2416	40.51	0.96	3544	42.59	0.97	5456	44.78	0.98	8248	47.01	0.99	12656	49.12	0.99	19000	50.90	0.99	
3712	36.14	0.93	5624	38.27	0.95	8992	40.59	0.97	14552	42.89	0.98	21536	45.28	0.98	32488	47.48	0.99	49792	49.59	0.99	
744	38.89	0.96	1088	40.80	0.97	1552	43.03	0.98	2184	45.19	0.98	3320	47.32	0.99	5864	49.27	0.99	10944	51.03	0.99	
