43.7491	41.1645	38.7237		36.3062	31.8032		34.0678	
43.7405	41.1974	38.7421		36.364	31.8652		34.0948	
43.92	41.3806	38.923		36.529	31.9599		34.2313	
45.1263	42.702	40.3224		37.9784	33.4684		35.6912	
46.3174	44.0672	41.836		39.5423	35.2115		37.3646	
48.9983	47.0206	45.0298		42.9364	38.9587		40.9662	
47.5621	45.3318	43.0871		40.8885	36.5493		38.6898	
45.2818	42.8542	40.46		38.0574	33.4775		35.7543	
46.0941	43.6841	41.2797		38.8987	34.4011		36.6361	
46.5492	44.2045	41.9162		39.5617	35.1532		37.3365	
46.2024	43.696	41.2934		38.8655	34.3274		36.6186	
47.4707	45.1461	42.8556		40.568	36.2078		38.3251	
45.9615	43.6095	41.2563		38.9205	34.3907		36.6514	
45.5531	43.1951	40.9325		38.6496	34.2753		36.4601	
46.0765	43.7362	41.4272		39.1491	34.7112		36.9182	
45.6384	43.1787	40.7218		38.3384	33.8865		36.0738	
45.8171	43.4289	41.1048		38.7288	34.2653		36.4844	
46.5861	44.3753	42.2107		39.9565	35.6276		37.7654	
46.1836	43.9003	41.6046		39.3377	34.8696		37.0582	
45.1383	42.6919	40.2808		37.9226	33.5118		35.7051	
45.2	42.7578	40.4365		38.1368	33.6993		35.9057	
45.0809	42.561	40.1493		37.7094	33.2835		35.456	
45.7388	43.3832	41.0786		38.8281	34.5594		36.7039	
48.113	45.8655	43.7079		41.4478	37.1673		39.2441	
47.5728	45.2094	42.8163		40.483	35.9926		38.2161	
44.905	42.4056	40.0023		37.6146	33.097		35.3641	
45.44	43.0292	40.6448		38.2024	33.6342		35.953	
46.0565	43.686	41.3313		38.9528	34.4368		36.6715	
